genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABHD17C,923.865102570254,0.274384378710689,0.0648692614372268,4.22980580681049,2.33893129277473E-05,0.000101944461670714
ABHD1,2.51503877022889,-0.587752359891659,1.12802047882515,-0.521047597029279,0.602333614626483,0.732754777821808
ABHD2,2937.90335294697,-0.0159425409367137,0.0399474884734693,-0.399087440686084,0.689828776067027,0.800549062632949
ABHD3,627.811354393085,0.19394270518511,0.073128271592111,2.65208928042041,0.00799953862778663,0.0216090888945081
ABHD4,2565.41836496468,-0.478289420503909,0.0416528012873405,-11.4827672022452,1.61042361793612E-30,3.05743369819947E-29
ABHD5,2490.125698109,0.166038993161506,0.0492116911051418,3.37397454614514,0.000740912184230878,0.00249926623645179
ABHD6,690.795198752993,-0.849871766378133,0.0732385389898665,-11.6041605703757,3.92520401843378E-31,7.61086237809848E-30
ABHD8,745.323879972582,-0.443019285019735,0.0684501765676111,-6.47214232650148,9.66230413053861E-11,7.31790659871874E-10
ABI1,2151.73771546829,0.217790348051615,0.0455927783615706,4.77686063184048,1.78053086235482E-06,9.04766963324012E-06
ABI2,2136.7815526306,-0.691209933582801,0.0460558819814792,-15.0080707141981,6.50112714921712E-51,1.9840619404307E-49
ABI3BP,97.3652772729469,-1.51055002960983,0.212459299032163,-7.10983250199445,1.16183870317353E-12,1.01336698163495E-11
ABL1,3626.17666254282,0.589073488998797,0.0377078235448555,15.6220495807206,5.15224459145595E-55,1.67833011712838E-53
ABL2,7041.11372913448,-0.0341456291336029,0.0389257667515088,-0.877198626595567,0.380378761934941,0.532874656715197
ABLIM1,3150.62894809682,0.133726914846383,0.0395169308008712,3.38404102080302,0.000714273307681657,0.00241836999775892
ABLIM2,29.3477195850177,-0.528095208469271,0.329343843957457,-1.60347678621705,0.108829430220882,0.201787630174679
ABLIM3,1509.45318602593,0.478446307709991,0.0509374199370477,9.39282571243872,5.8411745892148E-21,7.93507413686748E-20
ABRACL,750.164778078347,-0.0779645224474186,0.0702947321558091,-1.10910903358461,0.267383148318503,0.411254418879939
ABR,3527.45757202188,0.0286516678081899,0.0390250560043197,0.734186462282551,0.462835103125116,0.612037223370218
ABT1,1307.7591506873,0.126697814605834,0.0550465315676015,2.30164936823021,0.0213549536704958,0.0510572558341381
ABTB1,505.025911076723,0.0777965417941809,0.0882978987269939,0.881069005217419,0.378280471971631,0.531040985557708
ABTB2,650.726650676923,0.605887880085753,0.0745733879282828,8.12471978165233,4.4839712679111E-16,4.76514336733437E-15
AC093375.1,0.140080710880296,-0.842709793220137,4.42654390980429,-0.190376467598939,0.849014136581349,
ACAA1,773.130285228242,-0.0639187491270535,0.0688189186706856,-0.92879618514379,0.352994721867003,0.504143191014227
ACAA2,905.647914486454,0.238193622600014,0.0655184514528604,3.63551972487309,0.000277420764641077,0.00100929496621006
ACACA,4546.87584640019,-0.00241258550396304,0.0354822767112823,-0.0679941009308432,0.945790330193603,0.968183328651792
ACACB,312.443225221936,-0.419502487667751,0.105391131737547,-3.98043441370788,6.87894426251973E-05,0.000276390300114173
ACAD10,469.61610636153,-0.155885500272363,0.085592781135917,-1.82124588316419,0.0685694886412545,0.13721879174161
ACAD11,14.5499209720988,-0.291056375173017,0.483712990768651,-0.601712959394598,0.547365222083556,0.689841668678113
ACAD8,1269.82143574743,0.236785072035003,0.0554713268448426,4.26860299731622,1.96700998095621E-05,8.65883904338448E-05
ACAD9,984.88882688489,0.0977894856456103,0.0610079197075934,1.60289821574491,0.108957127690213,0.201951801239898
ACADL,23.6335693442709,-0.260924033304333,0.385598081566208,-0.676673577432027,0.498613084526619,0.644893481824553
ACADM,1539.4464279516,0.275292927332114,0.0525617073760275,5.23751873893027,1.62749780528052E-07,9.35446838663206E-07
ACADSB,672.708127299045,-0.229069775147991,0.072983200321808,-3.1386644342526,0.00169719681710859,0.00536590240112817
ACADS,144.820513026158,-0.491720722858952,0.151817691278794,-3.23888947801194,0.00119996062286126,0.00390390889771493
ACADVL,6593.21414095143,-0.0617538299844594,0.0324516417174682,-1.90294933372256,0.05704715674852,0.117676397329669
ACAP1,13.5785066857225,0.487720376932271,0.481140870187672,1.01367480326922,0.310737950931762,0.45974835673811
ACAP2,1662.63048175083,0.106363160119142,0.0507019554885091,2.09781179235281,0.0359217744014635,0.0794819984718783
ACAP3,739.100371785136,-0.0813686717211164,0.0747965973841694,-1.08786595335603,0.276654288347678,0.422490308290922
ACAT1,2412.18674589203,-0.030705479125209,0.0428346433103364,-0.716837511701644,0.473474362832905,0.622062888941929
ACAT2,3092.62330213576,0.33022929676477,0.0410368139065413,8.0471475567486,8.47459837370314E-16,8.8659540660114E-15
ACBD3,1879.92352081991,-0.20140156034552,0.0470706957815539,-4.2787037030467,1.87984903895482E-05,8.29395613907838E-05
ACBD4,196.531631811806,0.135648891244909,0.136703988400854,0.992281884615899,0.321060037690325,0.470253877620446
ACBD5,1986.83507944814,-0.166478216496755,0.0461262150426956,-3.60918875183361,0.000307156064041301,0.00110706400626859
ACBD6,1103.7847168468,0.0146435492187982,0.0604206327055179,0.242360077395564,0.808501165944006,0.883788541859657
ACBD7,365.095790465186,0.373247289140384,0.0990609862258302,3.76785355527845,0.000164657244407446,0.000624140505320043
ACCSL,0.161761022044109,-0.842709793220137,4.42654390980429,-0.190376467598939,0.849014136581349,
ACCS,109.376226823023,0.361043286253746,0.16842561054704,2.14363649970506,0.0320620238310408,0.0724438806567895
ACD,674.883005956316,-0.25466428419919,0.0754293063538864,-3.37619814511351,0.000734949688220963,0.00248240046405653
ACE2,3.18506120472387,-0.075065180768912,1.01100638993339,-0.0742479785650593,0.94081306980114,0.965651783020434
ACER1,0.689890242575112,0.175887780263035,2.14426164153433,0.0820272008117339,0.934625083216909,
ACER2,137.030745761874,-2.22602715861905,0.186551619718237,-11.9324997659157,8.01305145270864E-33,1.61650515160053E-31
ACER3,737.396453415434,0.21219311703585,0.0707949724412851,2.99729076399932,0.00272390773393356,0.00819343397495218
ACE,5.13206990278515,-2.28397243552736,0.915315134623604,-2.49528533849336,0.0125855879283749,0.0320818454721161
