"","knockout_1","knockout_2","knockout_3","wtGATA3_1","wtGATA3_2","wtGATA3_3"
"A1BG-AS1",78.4156424625064,65.0689550233944,63.771444730588,85.1636536526472,94.5292411283526,109.1521792911
"A1BG",24.6072939733293,20.4190242471531,20.0118578170142,28.594855458929,31.739478883002,36.6493293322801
"A1CF",0.755007368293149,0.626501791569049,0.614009005681675,13.8126704629525,15.3316726187489,17.7033630920813
"A2M-AS1",1.83439524335274,1.52217310011736,1.49182014202659,0.318550248542281,0.353581744845842,0.408278089898868
"A2M",1.89150165474273,1.56955974897457,1.53826187537668,77.9316378315096,86.5019085976384,99.8830808707278
"A3GALT2",1.53638129640882,1.27488243844473,1.24946059041589,0.554884621367241,0.615906198500775,0.711182095643551
"A4GALT",228.985861201886,190.011459903079,186.222528224574,216.881684018656,240.732520572001,277.97196859959
"A4GNT",0.209706910224256,0.174013871224756,0.170543940150498,0.318549500528944,0.353580914572244,0.408277131188404
"AAAS",953.666108854256,791.347940228171,775.568032632175,648.05634309209,719.324168157109,830.598020611386
"AACSP1",0.40844875371703,0.338928978330855,0.332170550479101,0.163551490035696,0.181537517184775,0.209619958726935
"AACS",973.462246768412,807.774688350384,791.667222477815,900.239169970704,999.239956501132,1153.81460366055
"AADACP1",4.4473416270777,3.69038451026343,3.61679623940894,16.6345358794818,18.4638632300024,21.3200792223761
"AADAC",0.209707146500294,0.174014067285573,0.170544132301755,1.69434004651426,1.88066941636425,2.17159434342172
"AADAT",379.587145691339,314.979743005461,308.698875909499,272.046566577274,301.963976264001,348.675454104919
"AAED1",465.090898022843,385.930380404756,378.234719075912,417.550747696199,463.469492200104,535.164616839472
"AAGAB",1240.08303005264,1029.01544097342,1008.49631436935,1444.63593126325,1603.50492765432,1851.55466465487
"AAK1",2945.84637163157,2444.45035508286,2395.70668777125,3075.93493418328,3414.20057286958,3942.35083892851
"AAMDC",287.918191942193,238.913248601659,234.149188704938,277.213364028323,307.698974953743,355.297612473534
"AAMP",2812.62126768768,2333.90075012799,2287.36150196286,2373.93771597234,2635.00356257748,3042.61811331603
"AANAT",0.746374001976978,0.619337862193656,0.606987928947733,1.21003832306412,1.34310823349604,1.55087662780296
"AAR2",2087.53351989714,1732.22612798158,1697.68459846545,1756.26695571712,1949.406529925,2250.9645536739
"AARD",83.0041599444052,68.8764866367009,67.5030520961996,172.199380576231,191.136430513365,220.703749267677
"AARS2",642.897013036405,533.473112152875,522.835368643625,487.324905949069,540.916829733495,624.592454947097
"AARSD1",0.745991119914917,0.619020148343548,0.6066765504843,0.163550629796064,0.181536562343171,0.209618856178763
"AARS",5097.82800164044,4230.15524121154,4145.8036489097,4884.50815136338,5421.66557011356,6260.35505311934
"AASDHPPT",2905.58706411965,2411.04335888285,2362.96584521404,2118.8988563739,2351.9176588842,2715.74102273666
"AASDH",540.126903282823,448.194927350621,439.257677148709,447.51025497996,496.723695920205,573.562987156554
"AASS",1635.98982342524,1357.53715580519,1330.46712783423,3687.21898605388,4092.70854028105,4725.81871008995
"AATF",4222.96552070184,3504.19820462834,3434.32258979937,3621.28125560087,4019.51952884114,4641.30792799258
