Node,Steady State (Perturbed (GATA3)
A2M,0.4862508073313991
ABCA1,0.8740548329889138
ABCB1,-0.10800461017602726
ABCG2,0.9514464199971927
ABI2,0.07723491306943994
ABL1,1.989524381703924
ACAT1,0.9758603630242283
ACE,0.3192720433414884
ACSL1,0.9588341562753967
ACTA1,0.45983910117315496
ACTA2,0.03287571180394536
ACTBL2,1.0952497162074701
ACTC1,1.2761348516130322
ACTG2,0.591563639619927
ACTR3C,1.709833437510142
ACVR1C,0.8868572206211953
ADAMTS3,0.5509760671236237
ADH1A,0.133063983239156
ADIPOQ,0.12383490030941496
ADIPOR1,1.0542634903419628
ADIRF,1.0988896506392414
ADM,0.6733874308907053
ADORA1,0.796214341542341
ADRA1B,0.5134374293851702
ADRB2,1.0748233468889064
AFAP1L2,0.937883643991181
AFP,-0.5320315150834886
AGER,0.33855651362431644
AGR2,1.2146966003847663
AGRN,1.4980747493051294
AGTR1,0.21666273517474666
AHRR,0.4227067112701858
AKAP5,0.9135388358613722
AKR1B1,1.2546199376807432
AKR1C3,0.8228470604030113
AKT1,0.8546263770491422
ALCAM,1.06373777643525
ALDOB,0.2984141459270388
ALOX5,0.2623999074070019
ANGPT1,1.1360381408684253
ANGPTL4,0.946634062066138
ANK1,0.6660435922963143
ANK3,0.7395930536802636
ANXA1,0.9919010191090759
AOX1,1.2450044086036307
AP1G2,0.811840862880781
AP1S3,0.8142464838666482
APBB1IP,0.79280261570568
APOA5,0.2984141459270386
APOB,-0.123834900309415
APOBEC3G,0.7461179420040728
APOBR,0.00671250523640364
APOC3,0.43920161951712333
AQP3,1.0299566054711373
AQP5,1.5872864284801662
AR,0.6040090386680964
ARG1,0.06823325334542235
ARG2,0.8029029855990949
ARHGAP24,0.6608124537125665
ARHGAP31,0.8164945887631001
ARHGAP32,0.8772425702972237
ARHGDIB,0.7917585503303617
ARHGEF16,0.43047043203058766
ARHGEF4,0.5071464253213673
ARHGEF5,0.5732618044351772
ARHGEF6,1.7526950904790515
ARNTL,0.17058819039777046
ASAH1,0.8283831094852009
ASS1,0.6328665820529078
ATF1,1.4379949367962397
ATF2,0.5560238217046415
ATF3,0.561898653155911
ATOH8,0.4488672927066717
ATP1A3,1.0640219959443153
ATP1B1,1.7329989765208902
ATP2B4,1.3736467490598407
ATP6AP1,0.9309404480610451
ATP6V0A4,1.1080754725988318
ATP6V0D2,1.3890626060727074
ATP6V0E1,2.294278519802191
ATP8B1,0.994818333587943
AXIN2,1.120980116964696
B3GNT3,0.5903062670599541
B3GNT7,0.5058763208476528
B4GALT4,0.664191036562464
BABAM2,-0.19153913827191316
BAD,1.0431659101886583
BAK1,1.6183343256826053
BAMBI,0.9772785368867131
BATF3,0.9543994674796055
BAX,0.9099962719726307
BCAR1,0.9570453372061803
BCHE,0.5323970304464634
BCL11A,0.591013234026355
BCL2,0.65209037017943
BCL2L1,0.9226775126948399
BCL2L11,0.9236659924376343
BCL6,0.34229439262001277
BECN1,0.9842435455981886
BEND3,0.7199037279777232
BEX2,0.6973089099699745
BGLAP,-0.20069555034593015
BHLHE40,1.3145463398309054
BID,1.3366760705401899
BIRC3,1.3191554738585674
BIRC5,1.1581959311788923
BMI1,0.564112144555526
BMP1,0.426044854955563
BMP2,0.14820854170175746
BMP5,0.11754676397057137
BMP6,-0.1777634715545301
BMPR1B,0.40034802491067134
BNIP3L,0.5089377795291128
BRCA1,0.8673416033299873
BRD7,0.5368504910190861
BRIP1,0.9728691436769525
BRS3,0.12383490030941496
BTG1,0.8101318128799969
BTG2,0.38787451894743524
C3AR1,0.3419184666921754
CABIN1,0.5168194779754353
CACNA2D1,0.48786598871597725
CACNB4,0.3332867942585328
CACNG4,0.2799575380222199
CACNG6,0.2494883392539294
CACNG7,0.5832420612609657
CACNG8,0.5608141916981361
CALCR,0.5786067665560317
CALD1,1.1154319437782791
CAMK1D,0.5039876642067092
CAMK2D,1.7961940492811308
CAMSAP3,1.3773581628947045
CARD11,1.3312558902445237
CASK,0.8599921181209632
CASP3,1.0636494590949908
CAV1,2.4167812909763726
CBL,1.3406342445506032
CBLB,0.6947386091649995
CBX5,1.2079466918756103
CCK,0.14246536911745536
CCL2,-0.6505080042637712
