Node,Steady State (No perturb),Steady State (Perturbed (GATA3),SFA_fold_change
A2M,0.9725016146627982,0.4862508073313991,-0.4862508073313991
ABCA1,1.75997974273639,0.8740548329889138,-0.8859249097474761
ABCB1,-0.1737447324553012,-0.1080046101760272,0.065740122279274
ABCG2,1.7712589508708576,0.9514464199971928,-0.8198125308736648
ABI2,1.163706974278162,0.0772349130694399,-1.0864720612087222
ABL1,2.6679222656918875,1.989524381703924,-0.6783978839879634
ACAT1,1.8200868369249288,0.9758603630242284,-0.8442264739007004
ACE,0.5548340130397212,0.3192720433414884,-0.23556196969823284
ACSL1,1.7860344234272654,0.9588341562753968,-0.8272002671518686
ACTA1,0.8458867537060423,0.4598391011731549,-0.38604765253288736
ACTA2,0.5316629641843703,0.0328757118039453,-0.498787252380425
ACTBL2,1.2896102531475289,1.09524971620747,-0.19436053694005895
ACTC1,1.581182500318702,1.2761348516130322,-0.3050476487056697
ACTG2,0.8616315307902745,0.591563639619927,-0.2700678911703476
ACTR3C,1.975879228869748,1.709833437510142,-0.26604579135960593
ACVR1C,1.4230264147999194,0.8868572206211953,-0.5361691941787241
ADAMTS3,1.1019521342472474,0.5509760671236237,-0.5509760671236237
ADH1A,0.1211416596162892,0.133063983239156,0.011922323622866798
ADIPOQ,0.1160359114953013,0.1238349003094149,0.007798988814113589
ADIPOR1,1.920800985584748,1.0542634903419628,-0.8665374952427853
ADIRF,1.769270846302171,1.0988896506392414,-0.6703811956629295
ADM,1.3467748617814106,0.6733874308907053,-0.6733874308907053
ADORA1,1.3258144054756793,0.796214341542341,-0.5296000639333382
ADRA1B,1.0268748587703405,0.5134374293851702,-0.5134374293851702
ADRB2,1.7237219416072675,1.0748233468889064,-0.6488985947183612
AFAP1L2,1.6219826983976475,0.937883643991181,-0.6840990544064666
AFP,-0.642914772430189,-0.5320315150834886,0.11088325734670046
AGER,0.8087469163721623,0.3385565136243164,-0.47019040274784596
AGR2,2.132884821510366,1.2146966003847663,-0.9181882211255998
AGRN,2.411915272976357,1.4980747493051294,-0.9138405236712277
AGTR1,0.1309668183694628,0.2166627351747466,0.0856959168052838
AHRR,0.8454134225403716,0.4227067112701858,-0.4227067112701858
AKAP5,1.4351159958341717,0.9135388358613722,-0.5215771599727995
AKR1B1,2.1792291028165582,1.2546199376807432,-0.924609165135815
AKR1C3,1.5442807569933363,0.8228470604030113,-0.7214336965903251
AKT1,1.783044202738552,0.8546263770491422,-0.9284178256894098
ALCAM,2.1274755528705,1.06373777643525,-1.06373777643525
ALDOB,0.2552540488556524,0.2984141459270388,0.043160097071386405
ALOX5,0.4410897411707486,0.2623999074070019,-0.1786898337637467
ANGPT1,1.662534906085714,1.1360381408684253,-0.5264967652172887
ANGPTL4,1.529370096680913,0.946634062066138,-0.582736034614775
ANK1,1.3320871845926283,0.6660435922963143,-0.666043592296314
ANK3,1.4791861073605272,0.7395930536802636,-0.7395930536802636
ANXA1,2.136632117713383,0.991901019109076,-1.144731098604307
AOX1,1.7951037413218889,1.2450044086036307,-0.5500993327182582
AP1G2,1.623681725761562,0.811840862880781,-0.811840862880781
AP1S3,1.6284929677332964,0.8142464838666482,-0.8142464838666482
APBB1IP,1.58560523141136,0.79280261570568,-0.79280261570568
APOA5,0.2552540488556524,0.2984141459270386,0.04316009707138618
APOB,-0.1160359114953013,-0.123834900309415,-0.0077989888141137
APOBEC3G,1.4922358840081456,0.7461179420040728,-0.7461179420040728
APOBR,0.145058899596336,0.0067125052364036,-0.1383463943599324
APOC3,0.3613707620253756,0.4392016195171233,0.07783085749174767
AQP3,1.7533316603015758,1.029956605471137,-0.7233750548304387
AQP5,2.144616251489189,1.5872864284801662,-0.5573298230090229
AR,1.0260349202831176,0.6040090386680964,-0.4220258816150212
ARG1,0.0626750580505772,0.0682332533454223,0.005558195294845095
ARG2,1.532014522557922,0.8029029855990949,-0.7291115369588271
ARHGAP24,1.1506682677000115,0.6608124537125665,-0.48985581398744504
ARHGAP31,1.6329891775262002,0.8164945887631001,-0.8164945887631001
ARHGAP32,1.7544851405944475,0.8772425702972237,-0.8772425702972237
ARHGDIB,1.5835171006607234,0.7917585503303617,-0.7917585503303617
ARHGEF16,0.8609408640611753,0.4304704320305876,-0.4304704320305877
ARHGEF4,1.0142928506427349,0.5071464253213673,-0.5071464253213676
ARHGEF5,1.1465236088703543,0.5732618044351772,-0.5732618044351772
ARHGEF6,1.7968982670844518,1.7526950904790517,-0.044203176605400074
ARNTL,0.952212464045033,0.1705881903977704,-0.7816242736472626
ASAH1,1.6567662189704018,0.8283831094852009,-0.8283831094852009
ASS1,1.0485215609557714,0.6328665820529078,-0.4156549789028636
ATF1,2.036172984513587,1.4379949367962397,-0.5981780477173475
ATF2,1.4091112289794068,0.5560238217046415,-0.8530874072747653
ATF3,1.1844183929004997,0.561898653155911,-0.6225197397445886
ATOH8,0.5433757924782513,0.4488672927066717,-0.0945084997715796
ATP1A3,1.3560586585349914,1.0640219959443151,-0.2920366625906763
ATP1B1,2.5250264568204006,1.7329989765208902,-0.7920274802995104
ATP2B4,2.182164905063252,1.3736467490598407,-0.8085181560034114
ATP6AP1,1.8618808961220903,0.9309404480610451,-0.9309404480610451
ATP6V0A4,1.7506807211671411,1.1080754725988318,-0.6426052485683094
ATP6V0D2,1.894950323993595,1.3890626060727074,-0.5058877179208876
ATP6V0E1,3.0654720935298734,2.294278519802191,-0.7711935737276825
ATP8B1,1.818680027450765,0.994818333587943,-0.823861693862822
AXIN2,1.5225805573338835,1.120980116964696,-0.4016004403691875
